,Census Tract,County,"Hospitalization_Census_Tract_Rate_per_100,000","Hospitlization_State_Rate_per_100,000",Adult_Pop_Over_18,Census_Tract_Estimate,Pop_Total,Pop_Density/Sq_Mile,Percent_Poverty,Median_Household_Income,Poverty_Mean_Household_Income,Per_Capita_Income,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,Low_Income_Tract,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
1188,8005083100,ARAPAHOE,1848.68,1267.78,4921,6.4,6631,6501.0,4.5,73060.0,87337.0,34182,0,0,0,0,1,0,0,2.2,3.7,96.4,30.9
1189,8005080600,ARAPAHOE,2071.11,1267.78,2762,7.3,3403,7089.6,17.7,48008.0,52662.0,29280,1,1,1,0,1,0,1,1.2,6.9,93.0,31.1
1190,8005007302,ARAPAHOE,3788.82,1267.78,3582,6.9,5324,10648.0,28.3,34068.0,39224.0,13368,0,1,0,1,1,0,1,24.9,34.8,65.2,9.3
1191,8005080000,ARAPAHOE,3202.49,1267.78,2445,7.5,3312,6494.1,11.2,50383.0,57016.0,21980,0,1,0,0,1,0,1,5.1,12.7,87.3,21.9
1192,8005006854,ARAPAHOE,1315.19,1267.78,2264,6.4,2868,877.1,5.9,84821.0,104315.0,46767,0,0,0,0,1,0,0,1.5,3.4,96.6,58.1
1193,8005007201,ARAPAHOE,2630.33,1267.78,2990,7.2,4023,7888.2,30.7,33750.0,47044.0,16476,0,0,0,0,1,0,1,14.9,27.4,72.6,11.1
1194,8005083600,ARAPAHOE,1205.89,1267.78,2769,6.8,3450,1691.2,8.9,51438.0,61366.0,30454,1,1,1,1,1,0,1,0.7,3.6,96.4,37.1
1195,8005086600,ARAPAHOE,852.92,1267.78,4981,8.9,5844,2065.0,5.7,84564.0,103884.0,44234,0,0,0,0,1,0,0,0.4,1.3,98.7,53.7
1196,8005085300,ARAPAHOE,1744.73,1267.78,1928,6.8,2462,3467.6,1.7,100329.0,151360.0,58687,0,0,0,0,1,0,0,1.2,2.0,98.0,58.9
1197,8005085200,ARAPAHOE,766.72,1267.78,2190,7.4,2941,2100.7,3.2,134107.0,149680.0,48220,0,0,0,0,1,0,0,0.4,1.4,98.7,60.6
1198,8005086500,ARAPAHOE,1090.63,1267.78,3860,6.2,5220,2202.5,2.3,81756.0,124981.0,45796,0,0,0,0,1,0,0,1.8,4.3,95.7,52.0
