OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Diabetes_Census_Tract_Estimate,Diabetes_Estimate_Confidence_Interval,Diabetes_Map_Symbol_withinHSR,Diabetes_County_Regional_Estimate,Diabetes_Map_Symbol_State,Diabetes_State_Estimate
423,8013060600,"Census Tract 606, Boulder County, Colorado",Boulder,4738,16,5,95% C.I.: 4.6 - 5.4,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
424,8013060700,"Census Tract 607, Boulder County, Colorado",Boulder,2479,16,5,95% C.I.: 4.7 - 5.3,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
425,8013013005,"Census Tract 130.05, Boulder County, Colorado",Boulder,2606,16,4.3,95% C.I.: 4.1 - 4.5,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
426,8013012508,"Census Tract 125.08, Boulder County, Colorado",Boulder,2856,16,3.1,95% C.I.: 2.9 - 3.3,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
427,8013012605,"Census Tract 126.05, Boulder County, Colorado",Boulder,1595,16,2.5,95% C.I.: 2.3 - 2.7,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
428,8013013004,"Census Tract 130.04, Boulder County, Colorado",Boulder,2608,16,4.5,95% C.I.: 4.2 - 4.8,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
429,8013012401,"Census Tract 124.01, Boulder County, Colorado",Boulder,5926,16,2.2,95% C.I.: 2 - 2.5,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
430,8013012300,"Census Tract 123, Boulder County, Colorado",Boulder,6788,16,2.2,95% C.I.: 2 - 2.5,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
431,8013012202,"Census Tract 122.02, Boulder County, Colorado",Boulder,5784,16,2.7,95% C.I.: 2.5 - 3.1,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
432,8013012102,"Census Tract 121.02, Boulder County, Colorado",Boulder,6008,16,4.2,95% C.I.: 4 - 4.5,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
433,8013012105,"Census Tract 121.05, Boulder County, Colorado",Boulder,4286,16,4.4,95% C.I.: 4.2 - 4.7,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
434,8013012104,"Census Tract 121.04, Boulder County, Colorado",Boulder,1853,16,5.6,95% C.I.: 5.3 - 5.9,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
435,8013012904,"Census Tract 129.04, Boulder County, Colorado",Boulder,4561,16,5.1,95% C.I.: 4.8 - 5.4,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
436,8013012707,"Census Tract 127.07, Boulder County, Colorado",Boulder,2015,16,4.3,95% C.I.: 4 - 4.6,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
437,8013012905,"Census Tract 129.05, Boulder County, Colorado",Boulder,2166,16,5.8,95% C.I.: 5.4 - 6.2,Highest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
438,8013012103,"Census Tract 121.03, Boulder County, Colorado",Boulder,3210,16,4.9,95% C.I.: 4.6 - 5.2,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
439,8013012800,"Census Tract 128, Boulder County, Colorado",Boulder,8601,16,4.6,95% C.I.: 4.3 - 4.8,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
440,8123001412,"Census Tract 14.12, Weld County, Colorado",Weld,2012,18,7.7,95% C.I.: 7.3 - 8.4,Fourth Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
441,8123001407,"Census Tract 14.07, Weld County, Colorado",Weld,1905,18,5.4,95% C.I.: 5.1 - 5.6,Lowest Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
442,8123001408,"Census Tract 14.08, Weld County, Colorado",Weld,1625,18,9.3,95% C.I.: 8.8 - 9.8,Highest Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
443,8123001405,"Census Tract 14.05, Weld County, Colorado",Weld,3092,18,5.3,95% C.I.: 5.1 - 5.7,Lowest Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
444,8123001406,"Census Tract 14.06, Weld County, Colorado",Weld,4144,18,7.1,95% C.I.: 6.7 - 7.5,Middle Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
445,8123001414,"Census Tract 14.14, Weld County, Colorado",Weld,1626,18,7.1,95% C.I.: 6.8 - 7.5,Middle Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
446,8123001003,"Census Tract 10.03, Weld County, Colorado",Weld,2920,18,7.6,95% C.I.: 7.1 - 8.2,Fourth Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
447,8123002207,"Census Tract 22.07, Weld County, Colorado",Weld,1993,18,6.1,95% C.I.: 5.8 - 6.4,Lowest Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
448,8123002009,"Census Tract 20.09, Weld County, Colorado",Weld,1182,18,7.8,95% C.I.: 7.4 - 8.2,Fourth Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
449,8123001908,"Census Tract 19.08, Weld County, Colorado",Weld,1930,18,9.1,95% C.I.: 8.6 - 9.7,Highest Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
450,8123002010,"Census Tract 20.10, Weld County, Colorado",Weld,1854,18,5.6,95% C.I.: 5.3 - 6,Lowest Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
451,8123001906,"Census Tract 19.06, Weld County, Colorado",Weld,1268,18,7.6,95% C.I.: 7.2 - 8,Fourth Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
452,8123002103,"Census Tract 21.03, Weld County, Colorado",Weld,6950,18,7.5,95% C.I.: 7.1 - 7.9,Fourth Quintile,County/Regional Estimate 6.7% (95% C.I.: 5.7 - 7.8),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
